smiles_can
CC(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
O=C(O)CCC[C@H]1CC[C@H]2[C@H](C[C@@H](O)[C@@H]2/C=C/[C@@H](O)COc2ccccc2)OC1
NCC[C@@H](N)C(=O)N1CCCCC1
O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CS(=O)(=O)C[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1
Cc1nc(C(=O)N[C@@H](C)c2ccc(C3CN(c4ccc(OCC5CC5)cc4)C3)cc2)c(C)s1
Cc1noc(C)c1S(=O)(=O)N(CC(=O)O)c1ccc2c(c1)OCO2
Cc1ccc(C)c(N2CCN(Cc3nnn([C@@H](Cc4ccccc4)[C@H](Cc4ccccc4)NC(=O)OC4CCCC4)c3[Si](C)(C)C)CC2)c1
COc1ccc(C(=O)C2C(=O)C(=O)N(Cc3ccco3)C2c2ccc(OC)cc2OC)cc1
O=C1CCCCCN1Cc1cc(CN2CCN(c3ccccc3Oc3ccccc3)CC2)on1
CC(C)(Oc1ccc(CCOc2ccc(/N=N/c3ccccc3)cc2)cc1)C(=O)NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)cc1
Cn1c(C(=O)NN2CCCCC2)nc(-c2ccccc2)c1-c1ccccc1
CCC(=O)NC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]([NH3+])CCCC[NH3+])C(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CN=C2C=CC=C[C@@H]12)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)C(C)C
COC(=O)[C@H](CSCc1ccc(F)cc1)NC(=O)c1cc(O)c(O)c(O)c1
CC(NC(=O)CCSc1nc(-c2ccc3c(c2)OCO3)cc(C(F)(F)F)n1)c1ccccc1
Cn1cc(NC(=O)c2cnn3ccc(NC4CCNCC4)nc23)c(C(F)(F)F)n1
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5cc(C(N)=O)ccc5n4C)c3)cc2C1
O=S(=O)(N[C@@H]1CCN(CCOc2ccccc2-c2ccccc2)C1)c1ccc(Cl)s1
CCCOCCn1c(=O)c(N[C@@H](C)CO)nc2cnc(-c3ccc(OC)nc3)cc21
CC(=O)c1ccc(Oc2ccc(-c3cccc(C(O)CO)n3)cc2)c(C(F)(F)F)c1
CCOc1ccc(/N=c2\[nH]c(=O)n(C[C@H](C)C(=O)O)c(=O)n2Cc2ccc(Cl)cc2)cc1F
O=C(N/N=C/c1cccc(OCc2ccccc2F)c1)c1cc(O)c(O)c(O)c1
CC(C)C(=O)N1CCC(c2ccc(C[C@@H](C#N)NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)cc2)CC1
CCC(CC)n1cc(-c2nc(-c3cnn(CC4CNCCO4)c3)cn3nccc23)cn1
CCNc1ncc2c(n1)N(C)CCN(c1cccc(CCN3CCC4(CC3)CN(C(C)C)C(=O)[C@@H](C)O4)c1)C2=O
CN1CC[C@@](O)(C#Cc2ccc3c(c2)-n2nc(C(N)=O)cc2[C@H](F)CO3)C1=O
CC[C@]1(c2ccccc2)COC[C@@H](CN)O1
CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(NCC(=O)O)C2=O)[C@@H]1C
Cc1oc(N2CC3CN(C(=O)c4cccnc4OC(C)C)CC3C2)nc1C(C)(C)O
CC(=O)O[C@H]1CC[C@](C)(OC(=O)CNCC(C)C)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)/C=C/c4ccccc4)[C@H](OC(=O)c4ccccc4)[C@]12C)[C@H]3OC(C)=O
COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C[C@H](C(C)C)O4
NS(=O)(=O)c1ccc(N2N=C(c3ccc(Cl)cc3)CC2c2ccccc2)cc1
O=S(=O)(c1ccc2c(c1)nc(COc1ccc(Cl)cc1)n2CC1CCCO1)N1CCOCC1
COC(=O)C(c1ccccc1)N1CCN(c2ccc(NC(=O)c3ccccc3-c3cccnc3)cc2)CC1
O=C(NC1CC1)c1ccccc1NCC1=NCCN1
NS(=O)(=O)c1ccc(NC(=O)Nc2nc(Cl)nc(Nc3ccc(Cl)c(Cl)c3)n2)cc1
CCOc1ccccc1NC(=O)N1CC2CN(Cc3c(-c4ccc(Br)cc4)nc4ccccn34)CC2C1
COc1ccc(C(OCCN2CCC=C(C(=O)O)C2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
CCCSC[C@@H](N)[C@H](O)C(=O)NCCc1ccc(Cl)cc1Cl
Cc1cc(CN[C@](C)(CO)C(=O)O)c(OCc2cncc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1Cl
O=C(O)[C@H]1C[N@@]1C1CCc2c(cccc2OC/C=C/c2ccc(C(F)(F)F)cc2)C1
CCCCCCCCCCCCCCCCOc1cccc(OCC(COP(=O)([O-])Oc2cccc(C[n+]3ccsc3)c2)OC)c1
Clc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)c(Cl)c1
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)c3ccoc3)c2)[nH]1
COc1ccc(CC(N)CCC(C)C)cc1OCCc1ccccc1
CCc1cc(CN(C(C)=O)C(=O)NCCCCOc2cccc(O)c2C(=O)OC)ccc1N(C(=O)C(=O)O)c1ccccc1C(=O)O
COCc1cnc(N2CCC([C@H]3C[C@H]3COCc3ccc(S(C)(=O)=O)c(F)c3)CC2)nc1
O=C1CCCc2[nH]c(-c3ccnc(NC(=O)C4CCC4)c3)c(Nc3ccccc3)c21
Cc1noc(-c2ccc3nc(Nc4cc(CN5CCN(C(=O)OC(C)(C)C)CC5)ccn4)[nH]c3c2)n1
CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ncc(C#N)cc2Cl)cc1NCC(F)(F)F
CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ncc(C#N)cc2Cl)cc1NCC(F)(F)
